Date,SMA7,SMA21,EMA7,EMA21,MACD,MACD_signal,RSI,ADX,BB_upper,BB_middle,BB_lower,Stochastic_Oscillator,Williams_R,Price_ROC,OBV,Label
2013-08-20,17.22843001406944,16.375076624040897,17.294616800445002,16.55569309785041,0.577176108275598,0.4440972000911689,91.15844877570946,57.894098278753525,16.435477383626047,17.863366239137246,15.007588528114846,90.09092799790356,-9.90907200209643,9.65997013381222,9796637827.12154,1
2013-08-21,17.416248012150508,16.500737325946268,17.4224466434214,16.669351559168607,0.6010082527081195,0.475479410614559,91.45411308660687,59.93348758276453,16.55893954096726,18.01223270193282,15.1056463800017,90.20639802467151,-9.793601975328485,8.845296910181528,10214824984.474106,1
2013-08-22,17.568215426088717,16.62056204894324,17.530088034681746,16.776957072740807,0.6165864171504367,0.5037008119217345,91.69653637155247,61.83743621201245,16.679895183254814,18.14116917375708,15.218621192752547,91.14726923001595,-8.852730769984042,8.620870602003732,10580818274.620901,1
2013-08-23,17.678449765242085,16.736337322243408,17.613861051515126,16.875886439038485,0.6227355640806493,0.5275077623535175,91.76158840457776,63.60538851059981,16.79672306077356,18.244694399137536,15.348751722409581,91.32828107798663,-8.671718922013367,8.357984635879244,10903833057.723658,1
2013-08-26,17.76335875526,16.849002464245817,17.684043422059084,16.96849590218871,0.6228027015063056,0.5465667501840752,91.92623337133567,65.28956775971832,16.908063293573036,18.333965524414147,15.482161062731928,90.1037317207818,-9.896268279218198,8.580901911427748,11229233085.895588,1
2013-08-27,17.80176440426445,16.948684376164923,17.703309073544965,17.04055136817179,0.6051094987335333,0.5582752998939668,83.74569980460282,65.71699540592623,17.004896081242734,18.385614648954824,15.624177513530643,82.56279270786176,-17.43720729213824,8.263765553832947,10874196426.175238,1
2013-08-28,17.802872830613463,17.037635173152598,17.700586057996194,17.09981188118798,0.5788720023696499,0.5623946403891035,79.80983904925367,65.35209986147157,17.093234395312926,18.411093277174643,15.775375513451209,78.68234469058324,-21.31765530941677,7.283921628761661,10533388364.370993,1
2013-08-29,17.789306911474416,17.119885439557496,17.68866612460935,17.150093194211692,0.5485668777463566,0.5596290878605541,77.55205457802815,64.93660445795065,17.173831943998117,18.4196073929498,15.928056495046436,76.41598229904072,-23.584017700959294,5.144163747498487,10222925441.10802,1
2013-08-30,17.75663729962354,17.193042274731276,17.660811815805626,17.188925530137396,0.5125367211540102,0.5502106145192454,73.27724385799831,64.07195603950393,17.24347167316136,18.413656755104704,16.073286591218015,70.03050476736033,-29.96949523263968,2.8297776186290236,9923912234.82394,1
2013-09-03,17.711758394805535,17.257537777998284,17.63032383053841,17.220737743282793,0.47540472013427504,0.5352494356422514,71.13462624548076,63.00985066799439,17.30246769638996,18.40536496089161,16.19957043188831,58.680412548467324,-41.319587451532676,1.379359142778203,9615024350.425083,1
2013-09-04,17.67677677371146,17.317602984864568,17.627820061492994,17.257062380653153,0.44739232545734,0.5176780136052691,72.94233590394037,62.12952220275252,17.36167917923628,18.397264580826235,16.326093777646324,58.39132819291326,-41.60867180708674,0.7319935898260359,9934755709.504282,1
2013-09-05,17.640503859265085,17.374964938918662,17.631035079261327,17.291936721736167,0.42197187175899487,0.4985367852360143,73.39118159814944,61.337152853133595,17.419353995259097,18.379432879174317,16.459275111343878,48.43596438593089,-51.56403561406911,-0.24867822874239273,10229477940.859722,1
2013-09-06,17.62985264589997,17.432077497125178,17.6449131930577,17.32781043198259,0.40090570366376355,0.4790105689215642,74.42008424469023,60.37304369076429,17.479660286381687,18.342888981056326,16.616431591707048,36.49321231638524,-63.50678768361476,-0.3455075551046809,10543641182.808529,1
2013-09-09,17.645769228708172,17.495097086601955,17.6846431675451,17.371085219166655,0.38918825791689926,0.46104610672063123,76.88174816761355,59.77201382504065,17.549581837765768,18.26778733858635,16.831376336945187,55.239077690390864,-44.760922309609136,-0.011811124800905203,10865761612.172695,1
2013-09-10,17.661410817055472,17.559715914199774,17.704081736378804,17.406659057686042,0.37226732127979645,0.4432903496324643,74.16624551012887,58.60906807504587,17.61314120062061,18.146702777755614,17.079579623485607,48.26480855331886,-51.73519144668114,-0.5075600942003712,10417318631.617779,1
2013-09-11,17.642497715763817,17.605127675845957,17.63927559737232,17.410131614292116,0.3294369674020743,0.4205196731863863,57.426505210799476,55.11018773667256,17.64592204409349,18.03359586172514,17.258248226461838,17.232260936312855,-82.76773906368715,-2.352749422408528,9833799625.229338,1
2013-09-12,17.604937152255378,17.628303657716543,17.548440680573655,17.39793200664535,0.2786509554622256,0.39214592964155415,50.85122839776804,51.60821497508509,17.655041854205283,17.996085847540247,17.31399786087032,17.004724125797953,-82.99527587420205,-3.457215756619446,9304120960.75743,1
2013-09-13,17.526925391998336,17.62738397698396,17.42988711856961,17.368504227182815,0.21959504936914342,0.357635753587072,44.32480517744898,49.06851517855974,17.643741795654883,18.041348285051455,17.24613530625831,10.435546447218293,-89.56445355278171,-3.8673244468120003,8843695215.627092,1
2013-09-16,17.40321004965867,17.60235755472792,17.266083522974373,17.314519546183345,0.1469276480261179,0.31549413247488123,36.77609984076168,47.783877788817165,17.60786210821574,18.15504467793294,17.060679538498544,8.191920760559167,-91.80807923944083,-5.1872181995962965,8358285154.035857,1
2013-09-17,17.2509460540569,17.56085436807377,17.10473753353938,17.251445002460713,0.07603734959832664,0.2676027758995703,33.60783666456838,47.16894330210115,17.55466418513212,18.24878747616061,16.860540894103625,10.566709558129762,-89.43329044187023,-5.847234105495882,7898683870.921992,1
2013-09-18,17.080856193397516,17.509832750906384,16.98185416675244,17.193423099181704,0.019032063462617543,0.2178886334121798,33.456731516018564,46.60292057430727,17.497931000530595,18.297140881036,16.69872112002519,10.187355308099045,-89.81264469190094,-5.484617240554048,7439904372.742287,1
2013-09-19,16.927599407312552,17.459439045280813,16.908790610135625,17.147620993827474,-0.019752829620433232,0.1703603408056572,36.58624082929707,45.69672248277981,17.442114188927324,18.30117224906364,16.583056128791007,15.152956835882094,-84.84704316411789,-4.8421615801542215,7882412381.4680805,1
2013-09-20,16.81986042199797,17.406331812461776,16.854264028389416,17.106081292856864,-0.04982825035866867,0.12632262257279203,36.631794663172414,44.40876337255077,17.383997792661724,18.280453387096273,16.487542198227175,15.223437273054271,-84.77656272694573,-5.27586936282316,8401958827.576136,1
2013-09-23,16.771917617402625,17.36287105482118,16.875782095794623,17.091013566052624,-0.05290851043136513,0.09047639597196061,46.21209635107156,41.85738143404607,17.337755602461478,18.225527585335037,16.44998361958792,31.450392515789364,-68.54960748421064,-3.970050073427632,8994273379.851774,1
2013-09-24,16.77539850087429,17.32636688886136,16.93148472606075,17.091702570671394,-0.04209443792565892,0.0639622291924367,51.24414910594018,38.965643237650674,17.29795570661988,18.153075420664774,16.442835992574988,41.73678337182376,-58.26321662817624,-3.3243057552220243,9518196886.444721,1
2013-09-25,16.825911667199613,17.289875192041123,16.980679769662046,17.095026418834536,-0.03077514552747118,0.04501475424845513,52.14807857146691,36.48651714563702,17.266313650243045,18.09702551143226,16.43560178905383,43.665431207125984,-56.334568792874016,-3.7945097950990943,9980030501.059784,1
2013-09-26,16.908566780974926,17.263121826977265,17.035331167661937,17.104504504546085,-0.015890590242314317,0.03283368535030124,54.33056063751195,34.28134583109577,17.241657067758634,18.04926845419764,16.434045681319628,48.28164007605634,-51.71835992394366,-3.1702481775287317,10374480511.290329,1
2013-09-27,16.994083523415846,17.240236315173846,17.079453691615967,17.1142605735399,-0.003047797321382717,0.025657388815964452,54.72310138999116,32.23368675330746,17.219602814710093,18.004869289235515,16.43433634018467,49.09645231707724,-50.90354768292276,-1.3358430766475144,10719007638.45171,1
2013-09-30,17.060756521331452,17.216588915233157,17.09866800013558,17.118083332826675,0.002620777563517862,0.021050066565475135,52.56840138782232,30.02857135426049,17.198555916525095,17.966729450315707,16.430382382734482,57.58764765504662,-42.41235234495338,-0.6924371852658295,10399791729.438744,1
2013-10-01,17.13888170617609,17.200413281312628,17.133391144367494,17.128944900484544,0.013513555972124891,0.019542764446805087,55.34022121131766,28.218958643168186,17.18349095164142,17.936037083956514,16.430944819326328,77.54195331051967,-22.458046689480327,0.9566122667456217,10729407945.74782,1
2013-10-02,17.191916236507275,17.189590335388424,17.177937860857757,17.145547910470363,0.027798308023143647,0.021193873162072798,57.76180649018009,26.854893555984397,17.168054414440007,17.89640311863748,16.439705710242535,88.290465199981,-11.709534800019004,3.200690007988011,11046894497.164173,1
2013-10-03,17.220331208651146,17.17421836717459,17.20782775110987,17.15936150241544,0.03755003766699261,0.02446510606305676,57.12720997571593,25.83770998032714,17.150895278905004,17.849458215027678,16.45233234278233,82.762025594164,-17.237974405836006,4.072017871302251,10727827951.172726,1
2013-10-04,17.242517619196846,17.157213112018376,17.226763256903865,17.170653163494567,0.043651323618959736,0.02830234957423736,56.46638184401869,24.78305700504857,17.130746390896956,17.78839531056762,16.473097471226293,81.3914611751414,-18.6085388248586,4.035137985515755,10426820848.978712,-1
2013-10-07,17.26038997647804,17.139967603836624,17.25117040833539,17.184629408870514,0.051190545316828207,0.03287998872275553,57.999930808479945,24.091580251274586,17.10677432947809,17.69592120013155,16.517627458824627,85.25496265700181,-14.745037342998186,3.8035179070562948,10731213540.51452,-1
2013-10-08,17.270130257181393,17.115023324664918,17.258378613351923,17.193299756100604,0.05297300123491766,0.03689859122518796,55.70216274442898,23.531744204555142,17.08265461875417,17.59724213350579,16.568067104002548,77.8079539830886,-22.192046016911398,3.5308255506675135,10430863496.439455,-1
2013-10-09,17.29200961417004,17.093455180938015,17.27115056616768,17.20386036232918,0.0561161717947769,0.04074210733910575,56.92206859093868,22.765767222412165,17.075885080967275,17.57455088458799,16.57721927734656,80.33727073070408,-19.66272926929592,2.179001172769336,10731626087.292002,-1
2013-10-10,17.30989656974534,17.089546232639798,17.294055241148342,17.218306626307466,0.06219134780073787,0.04503195543143218,59.11566110534429,22.275171491754595,17.080226747762907,17.587226375079556,16.57322712044626,80.70843896283255,-19.291561037167455,1.5450198454973032,11025740740.888784,-1
2013-10-11,17.32739194012161,17.09707526467717,17.32905283160187,17.23791926054883,0.07192822940431753,0.05041121022600925,61.90887748568001,22.07173776332025,17.098217706283155,17.62810852470497,16.56832688786134,80.95308645301847,-19.046913546981536,1.785240386422298,11311942638.406532,-1
